video_name,video_url
Lecture 1: Algorithms and Computation,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-1-algorithms-and-computation/
Lecture 10: Depth-First Search,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-10-depth-first-search/
Lecture 11: Weighted Shortest Paths,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-11-weighted-shortest-paths/
Lecture 12: Bellman-Ford,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-12-bellman-ford/
Lecture 13: Dijkstra,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-13-dijkstra/
Lecture 14: APSP and Johnson,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-14-apsp-and-johnson/
"Lecture 15: Dynamic Programming, Part 1: SRTBOT, Fib, DAGs, Bowling",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-15-dynamic-programming-part-1-srtbot-fib-dags-bowling/
"Lecture 16: Dynamic Programming, Part 2: LCS, LIS, Coins",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-16-dynamic-programming-part-2-lcs-lis-coins/
"Lecture 17: Dynamic Programming, Part 3: APSP, Parens, Piano",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-17-dynamic-programming-part-3-apsp-parens-piano/
"Lecture 18: Dynamic Programming, Part 4: Rods, Subset Sum, Pseudopolynomial",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-18-dynamic-programming-part-4-rods-subset-sum-pseudopolynomial/
Lecture 19: Complexity,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-19-complexity/
Lecture 2: Data Structures and Dynamic Arrays,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-2-data-structures-and-dynamic-arrays/
Lecture 20: Course Review,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-20-course-review/
Lecture 21: AlgorithmsâNext Steps,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-21-algorithms2014next-steps/
Lecture 3: Sets and Sorting,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-3-sets-and-sorting/
Lecture 4: Hashing,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-4-hashing/
Lecture 5: Linear Sorting,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-5-linear-sorting/
"Lecture 6: Binary Trees, Part 1",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-6-binary-trees-part-1/
"Lecture 7: Binary Trees, Part 2: AVL",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-7-binary-trees-part-2-avl/
Lecture 8: Binary Heaps,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-8-binary-heaps/
Lecture 9: Breadth-First Search,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/lecture-9-breadth-first-search/
Problem Session 1,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-1/
Problem Session 2,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-2/
Problem Session 3,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-3/
Problem Session 4,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-4/
Problem Session 5,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-5/
Problem Session 6,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-6/
Problem Session 7,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-7/
Problem Session 8,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/problem-session-8/
Quiz 1 Review,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/quiz-1-review/
Quiz 2 Review,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/quiz-2-review/
Quiz 3 Review,https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/resources/quiz-3-review/
